Datum;Fallzahl;Neue Faelle;Genesene;Todesfaelle;7-Tage-Inzidenz;rel Veraenderung der 7-Tage-Inzidenz;7-Tage-Hosp-Inzidenz;ITS-Belegung
16.03.2020;332;332;;0;7,0;;;
17.03.2020;383;51;;0;8,1;267,7;;
18.03.2020;519;136;;0;9,7;246,1;;
19.03.2020;688;169;;0;12,6;262,5;;
20.03.2020;868;180;;1;16,2;294,2;;
21.03.2020;1025;157;;1;19,2;298,2;;
22.03.2020;1071;46;;1;21,9;278,3;;
23.03.2020;1219;148;;2;23,0;236,8;;
24.03.2020;1425;206;;3;25,7;204,2;;
25.03.2020;1645;220;;4;28,5;180,3;;
26.03.2020;1937;292;;7;31,2;160,6;;
27.03.2020;2152;215;;8;34,1;144,4;;
28.03.2020;2337;185;;9;35,2;126,0;;
29.03.2020;2462;125;;11;37,1;109,7;;
30.03.2020;2581;119;;13;37,6;92,0;;
31.03.2020;2777;196;;16;37,9;75,3;;
01.04.2020;2993;216;;;38,3;60,5;;
02.04.2020;3223;230;;20;36,7;46,6;;
03.04.2020;3486;263;;22;35,4;34,8;;
04.04.2020;3626;140;;24;36,2;26,3;;
05.04.2020;3687;61;;26;33,7;17,6;;
06.04.2020;3862;175;;28;33,5;9,8;;
07.04.2020;4038;176;;32;32,8;3,0;;
08.04.2020;4212;174;;37;32,5;-2,2;;
09.04.2020;4357;145;;42;32,2;-6,2;;
10.04.2020;4446;89;;46;30,6;-9,3;;
11.04.2020;4553;107;;50;26,4;-13,7;;
12.04.2020;4583;30;;51;25,8;-16,6;;
13.04.2020;4667;84;;56;25,2;-18,9;;
14.04.2020;4729;62;;62;22,9;-21,2;;
15.04.2020;4870;141;;74;19,3;-24,0;;
16.04.2020;4971;101;;84;17,6;-27,3;;
17.04.2020;5091;120;;91;15,3;-31,4;;
18.04.2020;5187;96;;92;16,3;-33,4;;
19.04.2020;5225;38;;94;16,1;-35,9;;
20.04.2020;5265;40;;97;15,5;-37,7;;
21.04.2020;5341;76;;105;15,1;-38,9;;
22.04.2020;5355;14;;105;15,2;-38,5;;
23.04.2020;5476;121;;112;14,3;-36,5;;
24.04.2020;5532;56;4412;113;14,2;-33,0;;
25.04.2020;5607;75;4508;123;12,9;-31,8;;
26.04.2020;5644;37;4587;125;12,2;-29,3;;
27.04.2020;5677;33;4652;127;11,9;-25,1;;
28.04.2020;5738;61;4730;137;12,2;-20,4;;
29.04.2020;5821;83;4837;147;12,2;-18,1;;
30.04.2020;5881;60;4897;149;11,8;-17,2;;
01.05.2020;5936;55;4978;152;11,0;-19,4;;
02.05.2020;5970;34;5040;154;9,7;-21,1;;
03.05.2020;6004;34;5091;154;9,1;-22,5;;
04.05.2020;6036;32;5154;154;9,3;-23,4;;
05.05.2020;6086;50;5296;162;9,2;-23,8;;
06.05.2020;6143;57;5296;162;8,6;-23,6;;
07.05.2020;6203;60;5364;163;8,4;-23,7;;
08.05.2020;6236;33;5431;164;8,4;-22,6;;
09.05.2020;6256;20;5477;165;7,8;-23,1;;
10.05.2020;6267;11;5518;165;7,5;-24,5;;
11.05.2020;6269;2;5586;165;6,8;-26,3;;
12.05.2020;6294;25;5641;170;5,9;-27,8;;
13.05.2020;6338;44;5687;173;5,5;-28,4;;
14.05.2020;6393;55;5737;177;5,5;-28,0;;
15.05.2020;6424;31;5787;181;5,1;-28,1;;
16.05.2020;6443;19;5825;181;5,4;-29,1;;
17.05.2020;6454;11;5850;180;5,4;-30,5;;
18.05.2020;6474;20;5880;182;5,4;-30,0;;
19.05.2020;6503;29;5918;186;5,8;-27,3;;
20.05.2020;6552;49;5959;186;6,1;-23,9;;
21.05.2020;6582;30;5987;190;5,7;-20,1;;
22.05.2020;6611;29;6018;190;4,8;-16,8;;
23.05.2020;6636;25;6049;191;5,3;-12,0;;
24.05.2020;6641;5;6060;191;5,0;-7,6;;
25.05.2020;6651;10;6086;191;4,9;-4,7;;4,5
26.05.2020;6672;21;6123;193;4,6;-5,5;;4,4
27.05.2020;6702;30;6175;195;4,0;-9,5;;3,7
28.05.2020;6737;35;6208;196;3,9;-13,1;;3,2
29.05.2020;6766;29;6240;197;4,3;-16,3;;3,4
30.05.2020;6799;33;6259;198;4,1;-18,4;;3,3
31.05.2020;6815;16;6279;198;4,5;-19,0;;3,2
01.06.2020;6838;23;6319;198;5,2;-16,8;;3,3
02.06.2020;6873;35;6358;198;4,6;-13,9;0,9;3,4
03.06.2020;6900;27;6388;200;5,2;-6,6;1,0;3,6
04.06.2020;6945;45;6412;200;5,5;2,3;1,3;3,6
05.06.2020;6963;18;6443;201;5,7;7,7;1,3;3,8
06.06.2020;6996;33;6455;205;5,9;16,1;1,1;3,4
07.06.2020;7015;19;6470;205;5,7;21,3;1,2;3,5
08.06.2020;7041;26;6531;206;5,2;22,0;1,2;3,4
09.06.2020;7081;40;6531;206;5,9;24,6;0,9;3,2
10.06.2020;7135;54;6559;208;6,3;24,9;1,0;3,3
11.06.2020;7164;29;6582;208;6,9;25,8;0,9;3,3
12.06.2020;7251;87;6609;208;7,5;29,0;0,9;3,3
13.06.2020;7281;30;6627;208;7,7;29,7;1,0;3,3
14.06.2020;7321;40;6656;208;9,1;36,6;1,1;3,4
15.06.2020;7368;47;6685;208;9,2;43,0;1,2;3,2
16.06.2020;7401;33;6725;209;9,3;43,3;1,4;3,6
17.06.2020;7474;73;6778;210;9,8;45,0;1,2;3,6
18.06.2020;7602;128;6806;211;10,0;45,7;1,0;3,6
19.06.2020;7732;130;6850;211;12,1;53,0;1,1;3,3
20.06.2020;7803;71;6874;211;14,6;66,8;1,2;3,3
21.06.2020;7832;29;6886;211;13,7;67,4;1,1;3,3
22.06.2020;7915;83;6920;211;13,9;62,3;1,1;3,1
23.06.2020;7974;59;6961;211;14,8;59,1;1,0;2,8
24.06.2020;8020;46;7032;212;14,7;53,2;1,2;2,7
25.06.2020;8095;75;7081;212;13,9;44,9;1,1;2,6
26.06.2020;8144;49;7125;213;12,1;33,2;1,6;2,4
27.06.2020;8167;23;7196;213;9,6;18,3;1,5;2,3
28.06.2020;8175;8;7217;213;9,1;7,6;1,5;2,4
29.06.2020;8219;44;7272;214;8,6;-2,1;1,4;2,5
30.06.2020;8242;23;7349;214;8,3;-11,1;1,6;2,7
01.07.2020;8301;59;7433;214;7,3;-20,1;1,6;2,0
02.07.2020;8344;43;7515;214;7,0;-29,1;1,6;1,7
03.07.2020;8392;48;7612;214;6,9;-35,4;1,7;2,4
